token_id,image,head,eyes,core,clothing,weapon
2683,https://assets.otherside.xyz/kodas/53873e50424d2792d6a163906f750911f404c48acec7a60c028d62a722dbbbc8.png,Bleached Horns,Bulls Eye,Onyx Doom,,Malfunction Rod
2684,https://assets.otherside.xyz/kodas/6d9c08fcf643476bb15775d783e05c6f4d841876948dd5b72247161bc0170820.png,Twisty Horn,Arachnid,Woodland,,
2685,https://assets.otherside.xyz/kodas/4684db762c41664dc01e65066c3b507b6099e960789ee85c92164c646cd1d87b.png,Infinite Vision,Ancient,Desert Bot,Fanged Cape,
2687,https://assets.otherside.xyz/kodas/e5f2d6046970bfd3d5046124c24f4caaa573fac3b8eadad331fca5c5bfcd3551.png,Blossom Bud,Shattered Cyclop,Banana Wrapped,Dance Of Petals,
2688,https://assets.otherside.xyz/kodas/72de03be83eb9981792d6700716d2415ec579fc2ba84b7dac2c46a7c456e279b.png,Cave Crystal,Stoney,Grey Matter,Shrine Bandolier,
2689,https://assets.otherside.xyz/kodas/ee76106ba4b75de244f01085bf7c468b7723d8b800625ee9d039421916b780ea.png,Sun Goop,Awakened Entertainer,All Smiles,Enoki Cape,
2690,https://assets.otherside.xyz/kodas/fcc4e410985b1218fa7389d3614c426ab3cbaff49739be1586514c78b4470c20.png,Vertical Vision,Gemini Gaze,Purple Disco Monster,,
2691,https://assets.otherside.xyz/kodas/a5b2ea24bdb3507e71b8e2c4fd7a40228a45ff55a09a11ce9aee2ef97e13c94d.png,Swordfish,Emotional,Hypnotic,,
2692,https://assets.otherside.xyz/kodas/3d1049049c617d95f1301d550bc4c0636229f001cc6ed53927772f311c1c48a9.png,Foreteller,Peer Review,Koda Bear,Cobalt Squad Belt,Fickle Sickle
2693,https://assets.otherside.xyz/kodas/2b4d29f548ccf4c171e0d05e9d0800c66295f7474f4966ae85a0913613ddff37.png,Keep It Chill,Harpy,Whirlpool,Celestial Crystal Armor,Hunters Respite
2694,https://assets.otherside.xyz/kodas/5d4eee4d1ef58bdee9045ad25afe68bd132c447c779913a1f3b4cfc6158b984b.png,Geo Stag,Clifftop Sigh,Spotty,,Unraveler
2695,https://assets.otherside.xyz/kodas/4a048f329d34fe223ee10fb2cee3ef34864d74916484d75ac488aca3f1a58c9c.png,Winged Fiend,Is Anyone Home,Magma Runes,,
2696,https://assets.otherside.xyz/kodas/7fd3df230eed85ac9f084a42aaf881b04096a164a6ad5f79ed127a5b757ecbe4.png,John Doe,Toxic,Storm Tracks,Coastal Scavenger,
2697,https://assets.otherside.xyz/kodas/1f1ac193e8f8aaee6e7ced6c5ba6368bfee042da9e24fa0a8fc11b05671978ad.png,Dawn Disc,Lookalike,Desert Bot,Ogre Armor,
2698,https://assets.otherside.xyz/kodas/8d4b550239550b570ebf6185210ef7133c0243c41a1fdd7d55bf4d5282a341fd.png,Creepy Crawly,Fortune,Hypnotic,,
2699,https://assets.otherside.xyz/kodas/54a8a799320c2163bddbd8974d66a3dee65a0e3664c3565482390b6947e8dc16.png,Winged Cheese,Caged,Patches,,Stygias Fang
2700,https://assets.otherside.xyz/kodas/a83488b2ee6bab616f072c467d2a38697841f1913387c090f3e5728872f09b8b.png,Screwhorn,Lizard,Flora Smock,Basic Smock,Serpents Hand
2701,https://assets.otherside.xyz/kodas/81c6d21baea815fafbe29e151f8a9f23cca3add1775476c6fc347de03e55f66c.png,Crystalline Helm,Is Anyone Home,Onyx Doom,,
2702,https://assets.otherside.xyz/kodas/b798d7ec6b63b435db20fe1eeb33788e7bb5a5071981ee82fabd6754e23a3493.png,Sunkissed,Deep Stares,Sunflare,,
2703,https://assets.otherside.xyz/kodas/c02fef0063530717a9d47b8a1a918a8006ab38715821dae01a7b4f92fcb049a8.png,Blossom Bud,Stay Awake,Berry Bomb,,
2705,https://assets.otherside.xyz/kodas/82fb58c76b9557917b3a76029dbd57963414b571fcc99690cf5ea0c733b3900a.png,Sunkissed,Caged,All Sight,,
2706,https://assets.otherside.xyz/kodas/79d8fc371007f18f96f72f75a6b68add671e71433d7ce2fd981acf5e49326b30.png,Fairy Wisps,Trance,Koda Bear,,
2707,https://assets.otherside.xyz/kodas/ff88599214c270405e002accae00d6285a5f33dba00ac39e057798c9b88aba59.png,Viridescent Hero,Peeker Orbs,Spacesuit,,
2708,https://assets.otherside.xyz/kodas/dcdf08d1344e915610b0b0b2bc4e28154f60eeef7b8f5aebda1dd75e56f74372.png,John Doe,Mycology Eyes,Vivarium,Infiltrator,
2709,https://assets.otherside.xyz/kodas/16ecc15cb64d591c672cea62a006a832a44d5510601e0e116914d98713d7c74f.png,Infinite Vision,Bloodshot,8 Knit,Sol Mantle,Glow Up Staff
2711,https://assets.otherside.xyz/kodas/a27f3d7f297e0dd11b95132ba43fb732bfe80a30987801ee1e884de5ee84549a.png,Nuts For Nuts,Pinball Attention,Woodland,Travel Outfit,
2712,https://assets.otherside.xyz/kodas/d561df313e2fe40e20eb4297a0f10969b147a786b17685ad170272210dcaa5a0.png,Sticks No Stones,Peeker Orbs,Husk,Ape Cape,
2713,https://assets.otherside.xyz/kodas/2f3fd223ada28168d943409385441f2a01b51c373bfb191bd76b0922c40a37e3.png,Great Kleos,Jelly Beans,Tide Roller,Ogre Armor,Comet Piercer
2714,https://assets.otherside.xyz/kodas/8c29ffa5311bef0b0c2ec32c0552467dbdffd674ec39f84e734479bade8c99a0.png,John Doe,Earnest Caps,Spirit Wisps,,Executioners Delight
2715,https://assets.otherside.xyz/kodas/f515f9a04af895df582c0682894a36bfe52b0abca363600c5fa1686a4508df3b.png,Foreteller,Genis Gaze,Petrified,Coastal Scavenger,
2716,https://assets.otherside.xyz/kodas/579acb49566c3e0df99ffc757fd7f0978c84824cd388ad24c4d2036a46832043.png,Beacon of Light,Furious,Caged Geminite,Geometric,Batter Up
2717,https://assets.otherside.xyz/kodas/622a1f465adf64c30879015cdb4374c18847dea5f681ca086d307f5715b29022.png,Skull King,Bloodshot,Husk,Feather Mantle,Staff of Wild Things
2718,https://assets.otherside.xyz/kodas/f028d83251a65c92fccffba43918902685eb4516ea9ce4f79766c8fd3c1da707.png,Bulls Eye,Sleepy,Purple Disco Monster,,
2719,https://assets.otherside.xyz/kodas/105b91a807a17314454aff3641a2f6316ac9db18d35e494a5187a8775b78b264.png,Goliath Bull,Mysterious,Spotty,,
2720,https://assets.otherside.xyz/kodas/94c89a45efafbfd63d13631563e91d656734ede8784b752de1e3a9fdc7e25791.png,Pink Fluff,Buttoned Up,Fuschiacron,Cauldron Complete,
2721,https://assets.otherside.xyz/kodas/fde336e0aed7f783856c1c9e066af327c5ddf39327106f6d0ce7fe9196157855.png,Manta Ray,Boney,Spotty,,Staff of Sentience
2722,https://assets.otherside.xyz/kodas/eb754413b1cc31f397a6b69b4120205b9d8fbe5768fef145b415501cddb56e33.png,Chomp Chomp,All Seeing,Spotty,,
2723,https://assets.otherside.xyz/kodas/8d5da6e9be3a83290ed3d678035de5cdf3629b0672699580d2388816998fdae8.png,Sticks No Stones,Melted Gaze,Husk,Gemstone Paladin,Wavebreaker
2724,https://assets.otherside.xyz/kodas/356c68092e1a031f5a1a9473c726ff1d8aaed9da9772c21ce2eb886ec5794bac.png,Foreteller,Shattered Cyclop,Desert Bot,Beetle Shell,
2725,https://assets.otherside.xyz/kodas/160eac1ecaaec8760322ccf4e01708b92cd8cd4a57e61da838342bc5f8309493.png,Stretched Thin,Golden Grill,Pink Bear,,Pickles Pike
2726,https://assets.otherside.xyz/kodas/4db62e6030c1a49f57fa546089b4eb15dab8e889fc11d7a611da0e666f878b0e.png,Geo Stag,Analyze,Caged Geminite,Wasteland Explorer,The Bloodletter
2727,https://assets.otherside.xyz/kodas/caa2adb84b6f6498388822fca61549b8579034991f811394e3162134224a57f3.png,Dawn Disc,Seeing Two,Banana Wrapped,,
2728,https://assets.otherside.xyz/kodas/585be11d6ab047d6c78a7f520c5713a1257f09285600005b6cd1cd28c4572485.png,Deep Sea,Bugged Out,Purple Disco Monster,,
2729,https://assets.otherside.xyz/kodas/8e5e32538a08c5e0f81dcef78855037b9393c1042b2da83f3dd2c9060a17edb6.png,Skull King,On The Edge,Woodland Guardian,,Cat A Comb
2730,https://assets.otherside.xyz/kodas/fcabb96591a7d8cae48b11a9f31336c8c526d26edba5e49434da24ea045a04bc.png,Dual Slick,Earnest Caps,Caged Geminite,,
2731,https://assets.otherside.xyz/kodas/3bdec9da22a7f8251239133670edaaf6ea274193078678b4b984c67c81793407.png,Swordfish,Squiggly,Islander,Boiled Armor,Rib Spreader
2732,https://assets.otherside.xyz/kodas/f82dbd867da7aa74262a586bd7bb45f4a50bf21dde36cd17b08d6adb6872c9e9.png,Foreteller,Over It,Cushioned,Heavy Iron Armor,
2733,https://assets.otherside.xyz/kodas/2998d9dff2452ffb27d79682dd352c82aa7d2008eb05611b30d4ea36b15534c2.png,Spiked Wyvern,Peer Review,Bubble And Toil,,Apprentices Staff
2734,https://assets.otherside.xyz/kodas/519f5cb43cc455760039a9cf61d9fe9fbdd8688719d1559853c7ee8407763468.png,Skull King,Glacia Glare,Stoney Pecs,Wasterider Pauldrons,
2735,https://assets.otherside.xyz/kodas/bc451862e3b0435549dcc14fd29df1ab11b890e1c5a6bdf775c2a47eee97a919.png,Nuts For Nuts,Boomerang,Amoebatopia,Sky Merchant,Synthesis Blade
2736,https://assets.otherside.xyz/kodas/8733f92bfce0d36bd8c17d5b5d4dedfbc64726b337a80d9ea1af7443c8d8f9ed.png,Bleached Horns,Eye Of Glob,All Smiles,Malachite Armor,Sword of The Horde
2737,https://assets.otherside.xyz/kodas/d25d6bfe77154c5e0d4540c61a4f3315aa4b8fbade83df8712352a9453dd1307.png,Winged Fiend,Cave Diving,Magma Runes,Golden Caesars Dressing,Trusty Hatchet
2738,https://assets.otherside.xyz/kodas/e1391d003c626fa2579484f6a8bdae0a7f7d954619e7684b359c29c7d9f8f93c.png,Winged Cheese,Peek Curiosity,Sunflare,Brawlers Outfit,
2739,https://assets.otherside.xyz/kodas/ca57cdfee40336ad9699e602d8ae49173795a103a0141c31d961f908d24c1ba5.png,Stubborn Ox,Mesmerize,Koda Bear,Barely There Armor,
2740,https://assets.otherside.xyz/kodas/3c00c7a55c247d73b7cb025b9d835d11a163830c0fa95406f467355544148cdb.png,Crystalline Helm,Cave Diving,Zebro,Outerplane Toga,
2741,https://assets.otherside.xyz/kodas/467216716e8d8a50e561bdb043eef357f18f53ee1f88750f074c265b585909f4.png,Blossom Bud,Adorable Intake,Woodland Guardian,,
2742,https://assets.otherside.xyz/kodas/5aa5ee7e65d7d5982d08f243012dffc548fbf339716e2b634e489880f65b5cf8.png,Fish Bowl,Amphiboid,Tide Roller,,
2743,https://assets.otherside.xyz/kodas/f912d8d207e5b79c7578f9a710c53e29bf1d154318749af87bec9426db2d7d0a.png,Open Wide,Intense Focus,8 Knit,,
2744,https://assets.otherside.xyz/kodas/6873a2dd400063da6e8303393dc1a7bff29276ff787fad88c8791b47b5c1a38b.png,Cracked Horn,Worry Wart,Bubble And Toil,Sovereign Outfit,
2745,https://assets.otherside.xyz/kodas/33167eeee55c53f6197d6a1ea3091d132a629201cb50119f935d59fe9d27abda.png,John Doe,Veggie,Onyx Doom,Adventurer Mantle,
2747,https://assets.otherside.xyz/kodas/98433e06945fff068bf905212ff3e4979cb153cf74cae29c7957cc51d9d1531b.png,Spiked Wyvern,Late Night,Bubble And Toil,Reinforced Mallow Armor,
2748,https://assets.otherside.xyz/kodas/699f05eab908931518a82b7b2ed2fae8a6c0ee586042ba42ace65d7bea688745.png,Drill Bit Droid,Tiny,Mummy Wrap,Belt Of All Seeing,
2749,https://assets.otherside.xyz/kodas/1d624650444fa2400936f0b36cb80c0b1fded87a1ee7690e9b945dc8020ce3e1.png,Sunkissed,Worry Wart,Sunflare,Nomad Armor,
2750,https://assets.otherside.xyz/kodas/53dbb050db7746b454065ea26bd28baa42f7c57a711669fd999a7c1841e8c2d0.png,Cracked Horn,Ruby Red,Bubble And Toil,Petrified Bands,
2751,https://assets.otherside.xyz/kodas/397de983ba6a1e908bfd525b40a290a1b1b656dc80cf0f8806738de756c8746f.png,Dual Slick,Dual Time,Caged Geminite,,
2752,https://assets.otherside.xyz/kodas/141b15839e2b70bb0835f2d5c58ce850adafb8844bdf9feef23ec3db9b775f3a.png,Scraggly,Cutie Pies,Amoebatopia,Temple Rot Armor,Twin Shadows
2753,https://assets.otherside.xyz/kodas/6166226af63b6ab0a98e5bd7cf7ca5da10e1af9e19d976d6314e370913387716.png,Spike Cauldron,Afraid,Spotty,Starry Beetle Cloak,Ox Tongue Blade
2754,https://assets.otherside.xyz/kodas/984dc047d0dc62211f901ccdab316e531c1572e19dfb62f451281845740755b5.png,Coral Delight,Snake Eyes,Pink Disco,Reinforced Mantle,
2755,https://assets.otherside.xyz/kodas/474c6d3d53c402c77bd34a4ec2641b88cdc09cd9bffaced8d1fe03b4b738535f.png,Winged Fiend,Judger,Magma Runes,Polished Marrow Armor,
2756,https://assets.otherside.xyz/kodas/8991c5f4c3afc97aaf5f0f13d055563cc5ffbf50705c8f6d0b1f857bf8f63678.png,Twisty Horn,Speechless,Bubble And Toil,Dance Of Petals,
2757,https://assets.otherside.xyz/kodas/af6f46dfa6fa0b30683054095b67da792f9dea9bebf0f5a3cf4502d237e8b324.png,Arachnid,Sleepy,Storm Tracks,Grassland Armor,
2758,https://assets.otherside.xyz/kodas/0c7ad7392c71d20289e8a4962ab6d5d8943e4a3d6824a7ab9279ec7d943dd0f8.png,John Doe,Look Deep,Spirit Wisps,Sovereign Outfit,
2759,https://assets.otherside.xyz/kodas/1461910652b04ab7df99b200b9e08f5eed9efb2de563c1c808899d9f5073e7c6.png,Dual Slick,The Gates,Purple Disco Monster,Wasterider Pauldrons,
2760,https://assets.otherside.xyz/kodas/5bc373b2f059cbc368a9729e1d0d330391f59373f3d527f9196469181f30d6e2.png,Dawn Disc,Cutie Pies,Petrified,,Dual Eclipse
2761,https://assets.otherside.xyz/kodas/265866a1bb88bf223c16e4fa7ac92b7e06469e8844ba5039bbc77ff5129dd950.png,John Doe,Snake Eyes,Storm Tracks,Monster Mesh,Sulfur Triton
2763,https://assets.otherside.xyz/kodas/953a6f1dbbe5c78281d88e49d8665fd9ead8597bf37f62e876ce452ad98ed71d.png,Aqua Elf,I See You,Floating Lava,Dance Of Petals,
2764,https://assets.otherside.xyz/kodas/01e62ea66e1bafeb12c5940cf12b3ff5ac4295b05d6c3c335e870ccc8a39ef2c.png,Tested Elder,Jungle Ah,Bubble And Toil,Malachite Armor,
2765,https://assets.otherside.xyz/kodas/cc011f672f6ded07d497963aed06963491633cc1b18964fd1721528819640b3b.png,Cracked Horn,Triple Threat,Desert Bot,,
2766,https://assets.otherside.xyz/kodas/6bd99fb2115bdc237b135db4d76118ac843b2cef0122b330be672eb9da42d070.png,Twisty Horn,Catty,Cushioned,,Sheer Face Claymore
2767,https://assets.otherside.xyz/kodas/9375f62a529471f4ad93c1b4ec1d5983dc002b6b01e6e5fd9025a790c3efaaf0.png,Scorched Brain,Here And Everywhere,Orangetan,Plateau Explorer,The Peeler
2768,https://assets.otherside.xyz/kodas/f51eaddda9e13f8e7d7342c0c7cbee1de3dbca34ad7c7d4ba92ef4c4606424cf.png,Blazin Hot,Eyes On You,Basalt,Reinforced Mantle,
2769,https://assets.otherside.xyz/kodas/4408edc2714fec6f7e440af6bec77309535291f935cb39da0c2082c930444695.png,Chomp Chomp,Ocular Drive,Zebro,Badlands Elite Armor,
2770,https://assets.otherside.xyz/kodas/f3dea5ed347b7f6834aa542db2ba92ce77637cd004608e89f2b925468a04d6f2.png,Drill Sergeant,Ancient,Koda Bear,Deep Sea Spiked Armor,Cat A Comb
2771,https://assets.otherside.xyz/kodas/d5906110db88dca0c5aa10f0a05bdb3c4c4330fd0dd06ab5dd46864864561758.png,Infinite Vision,Emotional,Flora Smock,Shelly Pauldrons,
2772,https://assets.otherside.xyz/kodas/7e6e83da814797e8665fafff88b7f01bfa8e39231485434fb57f7df02d9a5a4a.png,Arachnid,Peer Review,Spirit Wisps,Barely There Armor,
2773,https://assets.otherside.xyz/kodas/b054b6d8809ea5a95bba2b31caabde6462d27cfada7ac92535c47ca23104e955.png,Chomp Chomp,Worry Wart,Tide Roller,Coral Core Armor,
2774,https://assets.otherside.xyz/kodas/5b88a07cb18403ecb9900f5880da9e25654030212b7eaada1fa7a2d922c3fef0.png,Impalas,Crusty,Spotty,Wasterider Pauldrons,Skull Flail
2775,https://assets.otherside.xyz/kodas/cbe97bda4f52445a986547fbd1b5672b16ad6b925e0d0948ef0c3df9e6a3cf84.png,Green Gill,Simple Math,Monster Smoke,Mace Plate,
2776,https://assets.otherside.xyz/kodas/f799f0daf4b28dbd9da97a635939b962a4b2c02ebc544464fe17fc356ea80baf.png,John Doe,Insomniac,Grey Matter,,
2777,https://assets.otherside.xyz/kodas/b9a7c2bfb23bc1bf50e28cb22a5035b9a093ccdeb1e1a4195a3e886f857de010.png,Elder Bharal,Earnest Caps,Onyx Doom,,
2778,https://assets.otherside.xyz/kodas/c12dab988965e760343f4697bba88ee64f9d9fcbb009f304141ce5c8f53e8ded.png,Bleached Horns,Intense Focus,Woodland Guardian,Sovereign Outfit,Orbius Axe
2779,https://assets.otherside.xyz/kodas/5c431270fc06e35b2ea9a89907d266eaef9ba6ce6fb02682337a283a90f0a089.png,Another Memory,The Gates,Stoney Pecs,Ogre Armor,Bramble Thumper
2780,https://assets.otherside.xyz/kodas/98e9ab12ec1970250cde68065991ed517ace9d5001dba0817b6a9af26e4aa074.png,Crystalline Helm,Sad,Floating Lava,Travel Outfit,Orbius Staff
2781,https://assets.otherside.xyz/kodas/e6e82de4a64071f25be2b9f3c8600c8f1be3f5a9bbf49b361485e1d0aef80ea7.png,Dawn Disc,Squiggles,Spacesuit,,
2782,https://assets.otherside.xyz/kodas/928ea7f5cf81ef7c9cc082012954ac3bf19229d7914bf60d2e0f26ea7b87b471.png,Beacon of Light,Simple Math,Caged Geminite,Angelic,
2783,https://assets.otherside.xyz/kodas/33ac1d5475c86ac66a6f97e8d200b4142e00c48e856ca2c01193fa390841b088.png,Springbuck,Release Me,Islander,,Hunters Respite
2784,https://assets.otherside.xyz/kodas/15e7cd5311284202097cd0c3fc7642819270a0dbcd9d49701be7fc78dcf10478.png,All Seeing Maw,Uni Eyes,Mummy Wrap,Oozeguardian Armor,
2785,https://assets.otherside.xyz/kodas/63e438e2ec49d186613e81e5daaadf323e6c55260d7a04e9b9808b9eb1d57a28.png,Reef Dragon,Cave Diving,8 Knit,Gemstone Paladin,Occams Razor
2786,https://assets.otherside.xyz/kodas/b62e5380b092d6cd4faea2b06db81a160da68348d24a237955b0468a61441793.png,Cracked Horn,Tri Stare,Monster Smoke,Pluma Pauldrons,
2787,https://assets.otherside.xyz/kodas/afcdb2235c9b7263c5de46f9f5ee11a4994378b6a9265d6d1093c2151491a90c.png,Infinite Vision,Hypnotic Groove,Onyx Doom,Bark Moss Armor,
2788,https://assets.otherside.xyz/kodas/a201ff96263423a2f03d2c2d285c24f7c14d387469ad202b4237cf65f6ce681a.png,Tri Vent,Smile,Onyx Doom,Gemstone Paladin,
2789,https://assets.otherside.xyz/kodas/72a790190d80ab0017693927b7218bf8a9ba482b470f26cc88574244de3d14de.png,Winged Fiend,Stay Awake,Onyx Doom,Warriors Journey Garb,The Peeler
2790,https://assets.otherside.xyz/kodas/0dae37f8d5a70cce597de8a506f46153f0b75ffd5d706ab1c30de3d2bbcffd39.png,Drill Sergeant,Darkened Foresight,Woodland Guardian,Celestial Crystal Armor,
2791,https://assets.otherside.xyz/kodas/fc6a4e15dd52f9b15dc4da5e9ef36b69ed2b1aa02e812d7d0c2589cd96563e39.png,Sturdy Helm,Omniscient,Magma Runes,Ogre Armor,Crimson Edge
2792,https://assets.otherside.xyz/kodas/b4534f3d19b0ce98a173030ff4fed363c7ed4d998eb7992ea92ffb654c490ead.png,Coral Delight,Stay Awake,Pink Disco,,
2793,https://assets.otherside.xyz/kodas/105767007b0da6a7dd14f5424a32af3f399cd93c60f09697a99850cfc85164ae.png,Pink Fluff,Empty Stare,Purple Disco Monster,Deep Sea Spiked Armor,Shards of Iridia
2794,https://assets.otherside.xyz/kodas/0ca34200645ace8d69f6e7e14648b1cab260792040d3b9cd76921f098e26fae9.png,Arachnid,Simple Math,Mummy Wrap,Plateau Seer,
2795,https://assets.otherside.xyz/kodas/abb85a215b7d01adfa9eef1a5a9da6c66b359ef9a4d37dac4cf986a437af1998.png,Spike Cauldron,Teething Eye,Caged Geminite,All Seeing Pauldron,
2796,https://assets.otherside.xyz/kodas/7a6fd842ff6fd250e3b30afc0744c3377a4c6fc9c44f390b11c5f7e1dbd848a8.png,Keep It Chill,Bugged Out,Barnacle Buddy,,
2797,https://assets.otherside.xyz/kodas/56bb30b266419f4d3ca2bbc0608393e897d67f3dc8fd062ca235b37d7af6a342.png,Tri Vent,Release Me,Spacesuit,Crystal Light Armor,
2798,https://assets.otherside.xyz/kodas/902ac51f59240f01990a3d7fde50476dd1b9e51610262bb21abc145d73b110df.png,Winged Fiend,Tri Stare,Secret Ruins,Indigo Cape,Cavern Haunter
2799,https://assets.otherside.xyz/kodas/74e1796f437bc8d98869f474653624bf1db3ef69b7b27f25fec8ad1ef6e904d9.png,Crystal Horned,Birdlike,Pure Sinew,Butchers Belt,Unraveler
2800,https://assets.otherside.xyz/kodas/ab8f08a71d5aae532d39cb2ef0273c4cde7d11eebc3fd08e17865fa45e68e5c9.png,Fish Bowl,Five Eye,Pure Sinew,Grassland Armor,
2801,https://assets.otherside.xyz/kodas/5ee143cf95e5de548374ea2712ebcca3036ea27d0d272521d733e9963ceef081.png,Winged Cheese,Glimmer Of Hope,Woodland,,Highwind Wand
2802,https://assets.otherside.xyz/kodas/84cbaeed32eda91ac83b5580884a994642ce57ce50c7bb8ebde984409e31d186.png,Nautilus Trench,Twins,Vivarium,,Carapace Claws
2803,https://assets.otherside.xyz/kodas/9f07c106f746b38856ad8b4c78a642eb89f417e47ef3fcbbb9306289e6a3d7ba.png,Blue Crown,Peer Review,Skeletron,Glutton Cape,
2804,https://assets.otherside.xyz/kodas/402f791c22b8828f72c6265c52acfeae3bba7532e69321d210de175869e5bc10.png,Scorched Brain,Deep Stares,Magma Runes,,
2805,https://assets.otherside.xyz/kodas/37e832d8da9eb961f1a94cb95b80f79c452b2dcdd21fe58cf0e8c9992497aa9e.png,Fairy Wisps,Shattered Cyclop,8 Knit,Enoki Cape,
2806,https://assets.otherside.xyz/kodas/c058da2b3195a33dac887962107ff377146d896d0f22fc2409352c189c2fca91.png,Vertical Vision,Stubborn,Purple Disco Monster,,
2807,https://assets.otherside.xyz/kodas/3ed1d4f5bff6c3189342e1107f671c822dba3c78253d9d7fdf26dc68bc4aa6c8.png,Stretched Thin,Steely,Spotty,Mace Plate,
2808,https://assets.otherside.xyz/kodas/61737702fc65126090b9867f12af9e44ef266860b1c56610c5f5421d55f1e83f.png,Foreteller,All Seeing,All Sight,Gemstone Paladin,
2809,https://assets.otherside.xyz/kodas/cafb40c3a5a6737da095eaf13ec41cb4f9cf2bce5d8a2fb97132c78fb6f7f9c7.png,Twisty Horn,Winged,Woodland,,
2810,https://assets.otherside.xyz/kodas/2cd28e421db83d35789a08574c879628c18fe013dba3044f064b28c088aea16e.png,Cracked Horn,Genis Gaze,Cushioned,Wildlands Armor,
2811,https://assets.otherside.xyz/kodas/dc6277b409dbc895cb63be2b6e60906dabcc9275f2e576c5bc69991779e690ba.png,Hoot,Sad,8 Knit,,
2813,https://assets.otherside.xyz/kodas/d176868fcf6e83517a88299370d97b169d1c79b08effd641e1aa40b68c0e2886.png,Bleached Horns,Emotional,Petrified,Desola Armor,
2814,https://assets.otherside.xyz/kodas/ae878437cdb8b0e1d0ffe59b7d310541d59a85f377153d8f3497a3bdce426544.png,Sticks No Stones,Solar Focus,Leaf Me Alone,,Comet Piercer
2815,https://assets.otherside.xyz/kodas/2db9185169f35fa050b45c2013773637f987df378c83375a2fe22e798142e716.png,Crystalline Helm,Gemini Gaze,Zebro,,
2817,https://assets.otherside.xyz/kodas/94762b23890edee9400143877b4066467219212ec1d56312a6bf2b8e5c44260f.png,Manta Ray,Jungle Gem,Vivarium,Ocean Tunic,Column Cleaver
2818,https://assets.otherside.xyz/kodas/b5f73b49557f6bc70147d20be26c3cd3a4c2e2856f5b446e66989d94975c0c63.png,Drill Bit Droid,Cave Diving,Onyx Doom,Charred Mallow Cape,
2819,https://assets.otherside.xyz/kodas/1264fc7957d513447045e8933db072772d7e4ecc9b35c1dc52c142fa091c637c.png,Sunkissed,Shocked Blue,Cushioned,Minor Light Armor,
2820,https://assets.otherside.xyz/kodas/66ac1b82a5e97c294a7a2691e65b5edb0c84c63bda9900cd9dd083fff51197ee.png,Great Kleos,Droopy,Pure Sinew,Badlands Elite Armor,
2821,https://assets.otherside.xyz/kodas/71001b422237afc8e9a8e2aa3c3fd9b9f45120f98e0d564e0152ce3fc7411aea.png,Coral Delight,Analyze,Berry Bomb,,
2822,https://assets.otherside.xyz/kodas/9b854d0106bc1654800dada8aab2def0404d0dd8615a5af3067f880217d20ed4.png,Sunkissed,Intense Focus,Bubble And Toil,Geometric,Azure Fangs
2823,https://assets.otherside.xyz/kodas/e24a499ef5539562404ca640c6d2c067c01b630183170b3c90c9b5b576e7adc1.png,Spike Cauldron,Jelly Beans,Spotty,,
2824,https://assets.otherside.xyz/kodas/27cff3e7a6d72f922ec7b30ef97a53b360c352138ab527dbc1240b525ff1ab15.png,Chomp Chomp,Fortune,Onyx Doom,Nomad Armor,
2825,https://assets.otherside.xyz/kodas/dc7ea82054a1b827015969f8869c716f3e903859945deed39cc9aff807ccab45.png,Sticks No Stones,Peek Curiosity,Woodland Guardian,,
2826,https://assets.otherside.xyz/kodas/cc169561486a9f94dcb5ecf3a8b5ca53125eac78be7c44c395fbb492d7412618.png,Spike Cauldron,Elemental,Tranquil Water,Cobalt Squad Belt,Ox Tongue Blade
2827,https://assets.otherside.xyz/kodas/c77ae38fb7aeb4beede9f21625a8cf45e0b33074ca006eaadcb56cf797255be0.png,Winged Cheese,Here And Everywhere,Monster Smoke,Butchers Belt,
2828,https://assets.otherside.xyz/kodas/b09c28014c297f3116c706f65dff023cdc30b3ade2cef09f4753b6ba76d76421.png,Aqua Elf,Glazey Gaze,Pink Disco,,Occams Razor
2829,https://assets.otherside.xyz/kodas/5ace1fcbd5b24f46afc4e78fc85834527b4b72f3670ead2035f49b8dfc02f7a5.png,Crystal Horned,Late Night,Skeletron,,
2830,https://assets.otherside.xyz/kodas/28796c1c5ed0e37f073b5a37249bb426f366fa4e2c196011ad61b6b8fef791ea.png,John Doe,Squiggles,Zebro,Tough Armor,
2831,https://assets.otherside.xyz/kodas/649d9eb0fc3f1435c7c5113bac03a44f52cd090d05a2ce53841b196f28bab48a.png,Manta Ray,All Knowing Ahh,Barnacle Buddy,,Sword of The Horde
2832,https://assets.otherside.xyz/kodas/1d2c59806718fdbc245ae342ba55f2bc3c78fc7d42047589ca38ba822a5f8b98.png,Bleached Horns,Catty,Desert Bot,,Pickles Pike
2833,https://assets.otherside.xyz/kodas/74e675fe7c1626027407ac4552017fdbaec786aa7d3c3ba3ee740f57b8439fd8.png,Sluggy,Glazey Gaze,Pure Sinew,Toasted Mantle Armor,
2834,https://assets.otherside.xyz/kodas/903908ca288814bae4e747533a54fa036687bdadeb89d7c60c1e4f97f438d62e.png,Screwhorn,Ancient,Lava Lamp,Gunk Thread,
2835,https://assets.otherside.xyz/kodas/e1236f8699888780351570cbc293dffaab0768d6f9ea9b84a26e33674aa9c05c.png,Winged Fiend,Intense,Pink Bear,Stone Plate Armor,
